Model,Hyperparameter_Value,Validation_Accuracy,Train_Error,Validation_Error
Baseline,-,0.837,0.241,0.533
Dropout,0.6,0.807,0.549,0.593
Dropout,0.7,0.841,0.348,0.464
Dropout,0.85,0.851,0.329,0.434
Dropout,0.97,0.854,0.244,0.457
L1 penalty,5e-4,0.795,0.642,0.658
L1 penalty,1e-3,0.733,0.883,0.894
L1 penalty,5e-3,0.0241,3.85,3.85
L1 penalty,5e-2,0.022,3.85,3.85
L2 penalty,5e-4,0.851,0.306,0.46
L2 penalty,1e-3,0.849,0.356,0.453
L2 penalty,5e-3,0.813,0.586,0.607
L2 penalty,5e-2,0.392,2.258,2.256
Label smoothing,0.1,0.834,0.837,1.23
